CONG119,STATE,DISTRICT,TOTPOP20,NH White,NH Black plus NH Black and White,NH Asian plus NH Asian and White,NH American Indian plus NH American Indian and White,NH Pacific Islander plus NH Pacific Islander and White,NH Some Other Race plus NH Some Other Race and White,NH Other multiple-race,Hispanic,TOT_HOUS22_est,LESS_10K22_est,10K_15K22_est,15K_20K22_est,20K_25K22_est,25K_30K22_est,30K_35K22_est,35K_40K22_est,40K_45K22_est,45K_50K22_est,50K_60K22_est,60K_75K22_est,75K_100K22_est,100_125K22_est,125_150K22_est,150_200K22_est,200K_MOR22_est,Median_HH_Income_Est,BACH_PLUS_pct,FOREIGN_BORN_pct,ENG_LW_pct,Total_20_Pres_Votes_Est,G20PREDBID_pct,G20PRELJOR_pct,G20PRERTRU_pct
AR-03,AR,03,753219,0.6769,0.0367,0.041,0.0486,0.0168,0.0107,0.0046,0.1647,286496.97,12922.96,10624.22,9804.69,12339.21,11824.59,12247.37,12644.71,12395.54,11540.3,22410.08,28901.07,38993.8,27757.66,17522.3,19539.0,25029.48,60K_75K,0.3107,0.1124,0.0672,295834.17,0.3734,0.0154,0.6111
AR-04,AR,04,753086,0.6684,0.2039,0.0106,0.0278,0.0011,0.0088,0.004,0.0754,288709.23,20775.34,18008.6,16785.15,17049.32,16798.34,14675.8,14538.45,13516.84,13673.83,22375.81,28627.34,35172.3,22244.56,12203.7,13079.9,9183.96,45K_50K,0.1806,0.0416,0.0274,293061.63,0.3163,0.0079,0.6758
AZ-01,AZ,01,794611,0.6989,0.0385,0.0559,0.0241,0.0018,0.0127,0.0045,0.1635,351904.75,14076.54,8011.82,8437.56,9390.51,11829.58,9974.99,9547.36,11496.05,11590.02,21416.54,30221.09,43241.05,37261.01,25040.68,35494.16,64875.79,75K_100K,0.5061,0.1387,0.049,462760.88,0.5011,0.0127,0.4862
AZ-02,AZ,02,794612,0.5528,0.025,0.0167,0.2186,0.0022,0.0116,0.0045,0.1686,298995.2,20489.32,12440.29,11945.6,12858.32,14346.48,13139.55,11214.52,13411.68,12306.54,23629.44,31820.78,39728.81,27180.66,19436.28,18344.14,16702.79,60K_75K,0.2505,0.0653,0.0562,405643.89,0.4529,0.0154,0.5317
AZ-03,AZ,03,794612,0.1957,0.1082,0.0295,0.0242,0.0028,0.0072,0.0064,0.626,258302.3,15157.98,11343.46,9285.28,9447.78,12734.71,11128.23,12265.53,11965.39,11277.26,25024.43,27843.49,37014.0,22469.4,13988.24,14595.56,12761.54,50K_60K,0.1802,0.2651,0.1916,229283.81,0.7451,0.0161,0.2388
AZ-04,AZ,04,794611,0.5516,0.0625,0.0653,0.0311,0.0045,0.0112,0.0064,0.2674,321619.48,14897.35,8453.66,9610.37,9561.96,10962.78,11275.1,12334.38,12719.83,12952.12,24793.89,34554.37,46380.26,34630.85,24647.99,26292.63,27551.95,60K_75K,0.3721,0.1447,0.0696,371498.42,0.5417,0.0196,0.4387
AZ-05,AZ,05,794612,0.6706,0.0436,0.0701,0.0176,0.0034,0.0117,0.0055,0.1775,281052.35,8403.99,3921.88,4594.4,5705.21,7089.23,6573.45,7622.82,7226.53,7438.08,17482.82,24306.86,38816.38,35598.63,25729.26,37398.66,43144.16,100_125K,0.3969,0.1119,0.0388,417417.72,0.4103,0.0156,0.5741
AZ-06,AZ,06,794611,0.6314,0.0404,0.0389,0.02,0.0032,0.0128,0.0059,0.2474,331551.28,15097.62,10145.22,10941.7,13239.15,13427.11,12339.09,11958.19,13686.96,13299.72,24870.77,32622.88,45673.2,33413.51,23015.55,28839.63,28980.99,60K_75K,0.38,0.1034,0.0451,436068.04,0.4928,0.0151,0.4921
AZ-07,AZ,07,794611,0.2846,0.0434,0.0237,0.0357,0.002,0.0081,0.0043,0.5981,284858.18,19427.39,15896.59,12540.25,14356.46,15348.62,14711.52,12857.39,13932.36,12992.73,23637.12,28757.79,36582.48,23149.3,15370.85,14122.06,11175.27,50K_60K,0.2091,0.2094,0.1572,297225.83,0.6561,0.0148,0.3291
AZ-08,AZ,08,794610,0.643,0.0529,0.0531,0.0207,0.0024,0.0116,0.0049,0.2114,312396.42,14015.91,7278.63,9758.14,10455.13,11807.1,10625.41,10885.29,12060.69,12833.51,24370.54,30860.05,43358.75,35294.18,23108.59,28023.46,27661.04,75K_100K,0.3148,0.1273,0.0604,402654.34,0.4254,0.0139,0.5607
AZ-09,AZ,09,794612,0.5746,0.0499,0.0304,0.0251,0.0032,0.0122,0.0056,0.2989,298456.05,12905.89,8658.45,9513.7,10975.49,11306.38,11512.66,10387.52,11235.51,12474.02,23501.45,31915.7,43806.08,33355.46,22463.56,24406.7,20037.47,60K_75K,0.2177,0.1118,0.0581,362736.39,0.3639,0.0144,0.6216
CA-01,CA,01,764578,0.6151,0.0237,0.0649,0.0456,0.004,0.0154,0.0065,0.2248,283261.74,15157.56,12806.45,10958.24,12704.12,12768.66,12352.5,11048.51,10985.75,11073.9,21563.18,26924.52,36653.69,27520.91,17957.72,21017.22,21768.82,60K_75K,0.2266,0.1117,0.0704,345242.65,0.3967,0.0148,0.5885
CA-02,CA,02,765738,0.6475,0.0216,0.0575,0.0384,0.0036,0.0192,0.0062,0.2059,297752.33,12821.96,10007.41,8186.58,9066.86,8977.66,9249.31,8474.39,9407.0,9440.16,15376.5,22306.2,33273.55,26361.71,21142.11,32105.51,61555.42,75K_100K,0.4229,0.1481,0.0772,416930.84,0.744,0.0126,0.2434
CA-03,CA,03,764630,0.6905,0.0206,0.0907,0.0265,0.0038,0.0182,0.0064,0.1433,293645.79,11215.74,6869.85,7229.57,8245.64,8496.14,8044.91,7990.94,7812.39,8167.41,15097.35,23310.12,35107.19,32278.26,23975.77,34805.12,54999.36,75K_100K,0.4026,0.1255,0.0452,438733.03,0.4828,0.0165,0.5008
CA-04,CA,04,765137,0.513,0.0347,0.0912,0.0192,0.0052,0.0151,0.0078,0.314,281349.88,12679.35,8132.23,6713.26,6379.06,8159.88,8482.57,8121.48,7553.73,9228.13,18159.5,22310.47,35745.08,30316.6,22484.97,32266.74,44616.83,75K_100K,0.3536,0.1903,0.1125,369539.33,0.6784,0.0133,0.3083
CA-05,CA,05,765010,0.5921,0.0267,0.0723,0.0267,0.0054,0.0151,0.0062,0.2557,282067.87,10880.11,8441.61,8245.01,7960.57,9128.8,8444.0,8272.88,10195.6,8850.87,18047.96,25774.86,37336.81,29964.66,23062.38,28955.75,38506.0,75K_100K,0.3015,0.1251,0.0658,397876.22,0.4309,0.0139,0.5552
CA-06,CA,06,756730,0.472,0.1025,0.1394,0.0175,0.0102,0.0139,0.015,0.2295,273986.11,11933.44,9279.25,7794.63,9099.93,8390.42,9349.96,9005.71,9890.21,9118.42,18958.99,26009.03,38878.42,30468.47,22146.89,26122.17,27540.15,75K_100K,0.2933,0.2239,0.1248,329290.51,0.5856,0.0152,0.3992
CA-07,CA,07,758120,0.314,0.1119,0.249,0.0127,0.0169,0.0118,0.0171,0.2666,263983.61,12608.16,10478.13,7427.48,7959.26,7931.26,7962.34,7839.9,7769.44,8524.72,16437.97,23660.92,34463.23,27387.05,21964.09,27714.44,33855.22,75K_100K,0.3341,0.241,0.1569,335425.07,0.6824,0.0113,0.3063
CA-08,CA,08,758049,0.2396,0.1607,0.1983,0.009,0.0095,0.0135,0.0178,0.3516,254536.08,10300.76,7595.35,5717.2,6188.39,6643.02,7168.64,6815.5,7431.12,7774.85,14265.96,21401.88,34147.5,29641.68,22085.27,29672.1,37686.87,75K_100K,0.2978,0.2944,0.1679,317388.89,0.769,0.0087,0.2223
CA-09,CA,09,762029,0.2874,0.0794,0.1776,0.0125,0.0074,0.01,0.011,0.4147,234212.83,10388.25,6586.94,6614.65,7696.43,8007.72,8009.9,7425.15,6908.68,7111.85,15427.1,20843.86,32562.52,25035.68,19429.76,25555.24,26609.1,75K_100K,0.2042,0.2457,0.167,282190.45,0.5586,0.0103,0.4311
CA-10,CA,10,760266,0.4766,0.0521,0.25,0.0096,0.005,0.0141,0.0099,0.1828,271189.39,8195.97,4921.0,3589.13,3917.31,4683.82,4044.2,4927.78,4475.45,4880.25,9567.12,13906.24,24725.83,25308.84,22379.53,37081.69,94585.22,125_150K,0.5475,0.2513,0.0976,405666.28,0.6926,0.012,0.2953
CA-11,CA,11,759192,0.4322,0.0584,0.3338,0.006,0.004,0.0153,0.0094,0.1409,327173.05,14267.58,15241.72,7847.0,8147.67,7691.28,5759.68,5016.63,5917.09,5755.75,11794.25,14623.01,26858.05,22247.11,20713.58,37301.97,117990.67,125_150K,0.6401,0.3362,0.1623,388898.89,0.8735,0.0077,0.1188
CA-12,CA,12,758548,0.3287,0.1633,0.2304,0.0065,0.0061,0.0142,0.0144,0.2364,288107.68,14908.19,10976.0,7521.83,8327.15,7213.22,7692.4,7335.13,6387.52,7703.06,13882.74,19816.96,29750.49,24423.06,20145.93,31638.1,70385.89,100_125K,0.5347,0.2793,0.1347,362756.12,0.906,0.0067,0.0873
CA-13,CA,13,768072,0.2223,0.0316,0.0661,0.0116,0.0039,0.0081,0.005,0.6514,214534.87,11564.4,8357.23,8322.2,9304.11,8925.91,10276.46,8835.07,8120.25,8630.39,16892.31,21501.75,30050.7,20557.5,14558.58,14002.61,14635.4,60K_75K,0.1313,0.2802,0.2353,227775.83,0.5499,0.01,0.4401
CA-14,CA,14,759416,0.2557,0.0559,0.4,0.0068,0.0124,0.0101,0.0117,0.2474,246710.01,7152.7,4653.17,3982.33,4421.84,4882.89,4451.61,4323.82,4116.64,4448.43,8751.4,15154.45,25093.44,23206.08,20532.11,34992.58,76546.53,125_150K,0.4632,0.3889,0.1876,330843.3,0.7248,0.0101,0.2651
CA-15,CA,15,759058,0.2853,0.0284,0.3806,0.004,0.0131,0.014,0.009,0.2654,255406.49,7123.7,4615.77,4013.66,4778.38,4538.27,4678.47,4722.09,5333.27,4780.25,9702.47,15307.35,23790.68,22624.56,19727.29,32798.06,86872.21,125_150K,0.479,0.4107,0.2073,347503.71,0.7855,0.0085,0.206
CA-16,CA,16,758823,0.4348,0.0228,0.3217,0.0064,0.0039,0.0133,0.0064,0.1907,268441.8,6938.57,5447.51,4405.11,4342.4,4484.74,4568.39,4099.9,4414.3,4647.78,8623.67,14057.12,21474.02,20638.16,17072.54,31536.52,111691.08,150_200K,0.6219,0.3515,0.1512,378366.08,0.7617,0.0121,0.2262
CA-17,CA,17,758937,0.2087,0.0221,0.5822,0.0041,0.0044,0.0087,0.0069,0.1629,262007.33,7803.94,4030.27,2820.27,4437.77,3914.12,3382.75,3166.39,3303.75,2991.41,7902.75,11548.67,20386.77,21044.82,19608.16,37755.63,107909.85,150_200K,0.6243,0.5077,0.2074,298703.06,0.7348,0.0096,0.2556
CA-18,CA,18,763403,0.184,0.0214,0.1181,0.0067,0.0032,0.0081,0.0053,0.6532,214536.28,5950.46,6444.57,4775.53,5982.46,6123.02,5606.32,5815.91,6102.77,6217.86,12670.09,17142.16,27902.0,23666.45,17014.65,24604.96,38517.07,75K_100K,0.235,0.3442,0.2776,264817.66,0.7178,0.0102,0.2719
CA-19,CA,19,758545,0.4825,0.0266,0.2058,0.0121,0.0049,0.0143,0.0074,0.2464,267896.07,8243.09,4580.44,4617.54,5605.51,6261.7,5977.7,6090.92,7052.38,6163.42,11453.2,17757.29,29317.84,25941.1,21569.17,34811.28,72453.5,100_125K,0.4639,0.2445,0.1179,408182.87,0.694,0.0122,0.2938
CA-20,CA,20,763214,0.4938,0.0389,0.0826,0.0247,0.0027,0.013,0.0059,0.3385,259356.49,11166.36,7562.46,7307.59,7860.45,9338.77,7315.29,9265.46,7775.96,9110.39,16680.0,22778.19,35081.62,28077.16,20247.19,28502.5,31287.1,75K_100K,0.2837,0.1308,0.0775,346768.02,0.3676,0.014,0.6184
CA-21,CA,21,756328,0.1788,0.0504,0.1024,0.0112,0.0014,0.0076,0.0049,0.6432,227142.63,16573.54,12234.56,9934.65,10620.28,11369.15,10595.15,9963.43,8477.99,9609.96,17619.29,22162.63,29079.07,19463.05,13380.53,13313.16,12746.19,50K_60K,0.163,0.2263,0.2118,223985.56,0.5976,0.0102,0.3923
CA-22,CA,22,782247,0.1577,0.0486,0.0392,0.0111,0.0014,0.0064,0.0039,0.7317,214009.97,12830.11,12412.68,10031.61,10676.31,13127.39,11127.82,9525.3,10950.69,10442.07,17571.07,22905.9,26018.29,18247.1,10487.54,10483.92,7172.19,50K_60K,0.0988,0.2692,0.2834,185457.64,0.5605,0.0098,0.4297
CA-23,CA,23,763401,0.3971,0.0939,0.0508,0.0165,0.0048,0.0121,0.0085,0.4163,245221.81,12802.52,10452.16,8534.15,9772.42,10979.6,10467.11,9537.39,10026.0,9998.72,17337.57,24603.47,31728.41,25405.93,15943.62,19148.92,18483.81,60K_75K,0.2032,0.1504,0.0949,295016.55,0.4439,0.0129,0.5432
CA-24,CA,24,764729,0.4973,0.0197,0.0629,0.0133,0.0023,0.0137,0.0049,0.386,268395.1,12180.14,8072.84,7643.11,6732.63,7350.38,6812.1,8699.06,8492.3,8554.82,14912.6,22310.98,33412.55,27313.32,22350.89,29223.63,44333.74,75K_100K,0.3784,0.1892,0.1192,375200.97,0.6404,0.013,0.3467
CA-25,CA,25,769360,0.2429,0.0485,0.0316,0.0151,0.002,0.0073,0.0049,0.6476,245116.64,13872.57,11253.39,12577.44,13300.69,11951.92,11888.98,10650.2,10214.45,11176.57,17063.15,22113.75,31057.59,23622.38,15102.76,14993.62,14277.18,50K_60K,0.1643,0.2608,0.2145,262237.08,0.5733,0.0083,0.4184
CA-26,CA,26,758718,0.4239,0.021,0.0978,0.0086,0.0026,0.0116,0.0053,0.4292,242885.21,8011.02,4553.19,4353.09,5161.25,6059.89,5963.26,6337.89,6059.95,6976.45,12987.53,17460.2,29914.22,25582.11,21085.56,30731.58,51648.03,100_125K,0.3612,0.2405,0.1535,374951.9,0.5948,0.012,0.3932
CA-27,CA,27,760227,0.3376,0.1052,0.1013,0.0091,0.002,0.0112,0.0092,0.4241,231207.11,10178.87,6727.49,5947.51,5535.91,6885.99,5480.17,6971.64,6735.5,6244.23,12452.91,18333.31,28630.23,25810.17,21167.01,26520.74,37585.42,75K_100K,0.2932,0.2239,0.1336,337649.15,0.5569,0.0111,0.432
CA-28,CA,28,757891,0.2725,0.0394,0.4017,0.0048,0.0011,0.0084,0.0069,0.2652,263686.68,11472.44,7944.58,6392.97,7672.63,6792.1,7335.26,6549.3,6730.96,7086.03,13358.0,19490.41,29852.19,27228.74,19917.89,31625.61,54237.58,100_125K,0.4689,0.3722,0.2366,366472.98,0.6665,0.0093,0.3242
CA-29,CA,29,757451,0.2136,0.0409,0.0842,0.004,0.0012,0.0082,0.0051,0.643,232299.31,12816.87,11312.75,7906.95,9415.38,9041.69,9337.21,7698.19,9646.53,8209.87,16388.69,21030.36,30710.01,23342.12,15931.43,19067.68,20443.59,60K_75K,0.2395,0.4241,0.2985,270702.91,0.7569,0.0071,0.236
CA-30,CA,30,758117,0.5565,0.0395,0.1437,0.006,0.0014,0.0127,0.0065,0.2337,327752.68,18550.69,17394.45,8866.08,11962.23,10362.89,9740.41,9595.53,8420.57,8795.53,18543.68,25445.81,39976.41,31030.58,23785.92,30599.83,54682.06,75K_100K,0.4944,0.381,0.212,375589.73,0.7298,0.0076,0.2626
CA-31,CA,31,757262,0.1499,0.025,0.2023,0.0045,0.0013,0.0066,0.0047,0.6058,217033.19,7311.97,6917.33,6053.49,6809.68,6416.56,7444.95,6547.49,7529.65,6715.0,13614.42,19927.77,30017.55,23810.07,19759.95,23028.09,25129.23,75K_100K,0.2431,0.3562,0.2455,303330.89,0.6528,0.0087,0.3386
CA-32,CA,32,758322,0.5246,0.0484,0.1437,0.0052,0.0016,0.0145,0.0071,0.2551,287905.99,12944.75,7612.24,6127.87,7880.5,7014.95,7415.16,6516.34,7018.0,7431.47,15172.95,20060.65,31109.17,27303.22,22844.04,31797.38,69657.31,100_125K,0.5097,0.3204,0.1492,385907.14,0.7011,0.0089,0.29
CA-33,CA,33,757218,0.175,0.1037,0.0758,0.0066,0.0034,0.0079,0.0074,0.6201,216023.71,8544.83,7792.08,5725.3,6564.83,7830.47,7565.07,7340.39,7245.96,7177.89,14629.75,22506.02,28484.66,24936.1,18001.78,20700.26,20978.33,75K_100K,0.2048,0.2353,0.1632,269799.32,0.6236,0.0094,0.3669
CA-34,CA,34,757694,0.109,0.043,0.1766,0.0039,0.0009,0.0071,0.0054,0.654,266085.55,19651.38,18538.17,11098.48,11771.16,12512.36,11771.68,10936.26,10117.24,10085.74,19419.23,23624.81,32854.17,21621.66,14876.4,17552.85,19653.97,50K_60K,0.2759,0.4463,0.3555,248832.72,0.8241,0.0058,0.1701
CA-35,CA,35,762339,0.149,0.0641,0.1222,0.0054,0.0025,0.0073,0.0062,0.6435,217476.54,8875.54,5706.58,5733.79,6830.24,7046.05,6840.54,6572.21,6586.81,6825.92,15384.93,22214.22,31856.22,24960.33,17316.16,23788.91,20938.07,75K_100K,0.2184,0.296,0.2113,270120.92,0.6374,0.0085,0.3541
CA-36,CA,36,758224,0.5547,0.0418,0.2029,0.0065,0.0028,0.017,0.008,0.1663,316304.47,15315.54,6996.53,6271.98,7582.13,7046.11,6312.53,6835.94,5525.74,6049.65,14146.56,19621.13,31423.66,28266.74,24518.34,38526.66,91865.25,100_125K,0.6537,0.2591,0.0924,418043.37,0.7166,0.0119,0.2714
CA-37,CA,37,755317,0.1315,0.2299,0.0695,0.0031,0.0012,0.0107,0.0137,0.5402,252527.69,19523.2,13658.48,10415.58,10427.38,11661.58,10649.56,9085.4,10161.47,8455.63,16267.6,20922.63,28475.53,21921.53,14734.16,20311.86,25856.1,60K_75K,0.2756,0.3519,0.2689,276104.31,0.8683,0.0059,0.1258
CA-38,CA,38,757723,0.1348,0.02,0.2166,0.0047,0.002,0.0064,0.0045,0.6111,223917.34,9391.11,5848.3,5071.73,5864.09,6102.72,6045.52,5908.83,6081.32,6883.7,13400.49,19279.28,29771.68,25848.08,19631.29,27262.02,31527.18,75K_100K,0.293,0.3288,0.2224,334654.32,0.6491,0.0076,0.3433
CA-39,CA,39,756511,0.1949,0.0901,0.0644,0.0075,0.0039,0.0084,0.0075,0.6233,201422.87,7919.82,5158.13,4514.92,5794.92,6202.75,6317.3,6112.05,6832.94,6744.36,14404.36,19501.33,29673.57,24939.17,16761.43,21120.29,19425.53,75K_100K,0.1865,0.263,0.1852,263532.9,0.6272,0.0099,0.3628
CA-40,CA,40,759044,0.4853,0.0207,0.2137,0.0079,0.0028,0.0122,0.0058,0.2515,264338.47,7841.18,5060.89,3736.87,5027.61,4622.13,4895.49,5318.29,5670.44,5455.23,11569.54,16321.7,26654.46,26427.02,24304.11,36964.66,74468.84,125_150K,0.5038,0.2552,0.1196,421166.11,0.5032,0.0124,0.4844
CA-41,CA,41,761787,0.4399,0.054,0.0889,0.0119,0.0042,0.011,0.0074,0.3828,256067.01,10772.23,5582.11,6775.28,6510.01,7442.26,6906.06,7023.98,6685.11,7258.69,15219.21,20978.25,32107.26,27902.1,23297.91,30655.06,40951.5,75K_100K,0.2977,0.2003,0.1011,365629.2,0.4895,0.01,0.5005
CA-42,CA,42,756884,0.1808,0.0669,0.0835,0.0054,0.0038,0.008,0.0069,0.6448,244368.54,11454.53,9453.0,7705.75,9023.72,9257.0,9566.71,8183.68,9833.43,8381.5,18079.71,23247.61,33366.25,24832.24,17683.11,20944.33,23355.95,60K_75K,0.2492,0.3245,0.2568,285100.75,0.728,0.0091,0.2628
CA-43,CA,43,754875,0.0692,0.243,0.0883,0.0029,0.0045,0.0083,0.0119,0.5719,229178.09,14184.65,10141.85,7302.4,8804.33,8973.96,8843.28,8705.09,8297.32,8812.47,16076.67,22477.89,29962.38,23815.54,16762.05,17629.42,18388.81,60K_75K,0.2108,0.3348,0.2636,266463.58,0.8209,0.0063,0.1728
CA-44,CA,44,757951,0.1253,0.1124,0.1212,0.0045,0.0094,0.0072,0.0091,0.6109,226182.41,9905.47,8159.69,6746.03,7372.53,8442.99,7355.72,7797.4,8744.66,7611.1,15758.67,21403.75,30043.16,24594.29,17505.7,22019.58,22721.67,75K_100K,0.225,0.3354,0.2313,288255.49,0.7409,0.0079,0.2512
CA-45,CA,45,758551,0.2521,0.024,0.3989,0.006,0.0045,0.0077,0.0063,0.3004,234979.84,10672.05,5567.72,4890.98,6056.81,6185.76,5927.33,5691.76,6054.12,6705.08,12906.1,17904.03,28398.3,24796.62,21122.22,30208.45,41892.5,100_125K,0.3708,0.3728,0.2373,353839.69,0.5262,0.01,0.4638
CA-46,CA,46,757643,0.1482,0.0201,0.1606,0.0047,0.0038,0.0063,0.004,0.6524,210057.49,9131.92,6930.13,5086.73,6267.98,6247.56,7188.61,6454.75,6853.66,6618.28,13324.49,19821.17,30012.28,23839.99,18232.54,22317.82,21729.57,75K_100K,0.2228,0.3885,0.2878,250362.94,0.6494,0.0092,0.3415
CA-47,CA,47,759061,0.5024,0.02,0.2744,0.0078,0.0032,0.0134,0.006,0.1728,295158.32,14665.94,6391.41,5347.27,6465.15,6600.26,6677.8,5627.97,6027.4,5683.54,12607.0,17608.76,29759.39,31523.41,23830.04,37378.79,78964.19,100_125K,0.5813,0.2803,0.1122,387517.93,0.5495,0.0127,0.4378
CA-48,CA,48,758617,0.533,0.0375,0.0877,0.0211,0.0051,0.0133,0.0083,0.2939,250846.94,8622.83,5128.83,5009.56,6176.24,6281.66,5319.31,6237.05,6879.76,5815.49,13366.31,20856.45,31635.15,29212.24,23676.8,32449.39,44179.87,100_125K,0.3283,0.1784,0.0915,387881.95,0.4308,0.0142,0.555
CA-49,CA,49,758516,0.5785,0.0267,0.0846,0.0109,0.0063,0.0142,0.0069,0.2718,266985.92,8646.22,4925.6,4555.97,6244.26,6841.67,6643.13,5689.42,6259.77,6599.88,13050.84,20194.51,28540.13,27591.14,22447.19,33706.77,65049.4,100_125K,0.4708,0.1873,0.0879,401783.12,0.5506,0.0139,0.4355
CA-50,CA,50,759332,0.5476,0.0327,0.1676,0.0087,0.0032,0.0166,0.0074,0.2162,299095.12,13509.83,7458.48,6038.59,7243.06,7389.83,6688.82,5935.45,7195.06,7678.27,14335.95,20905.97,32875.27,29253.81,25272.54,36569.21,70744.98,100_125K,0.5863,0.2283,0.0913,399042.99,0.6594,0.015,0.3256
CA-51,CA,51,758201,0.4567,0.0668,0.186,0.0096,0.0063,0.0135,0.0113,0.2499,274932.83,10155.68,6478.72,6882.2,7252.39,7240.91,7203.58,6775.32,7723.16,7574.14,16757.51,22988.45,34245.34,31672.38,23961.36,32292.19,45729.5,75K_100K,0.4429,0.2433,0.1191,366069.72,0.6309,0.0139,0.3552
CA-52,CA,52,761187,0.1338,0.0801,0.1582,0.0048,0.0055,0.0061,0.0103,0.6011,227060.83,9646.24,8464.27,7230.85,7849.92,8057.16,8469.0,8174.45,6946.76,6628.38,15539.71,21072.76,31032.01,24530.96,19111.04,22876.11,21431.2,75K_100K,0.234,0.3313,0.223,301225.55,0.6823,0.0086,0.3091
CO-01,CO,01,721714,0.5445,0.0935,0.0492,0.0129,0.0025,0.0127,0.0068,0.278,326171.39,15223.39,11363.94,8822.66,9427.89,9661.18,9607.15,9139.12,10297.15,10863.06,20508.11,28618.05,40752.76,32292.33,24940.96,34855.65,49798.01,75K_100K,0.5425,0.1533,0.0851,393210.9,0.8034,0.0126,0.1841
